,Unnamed: 0,MC_frame,rmf_frame_index,Total_Score,XLs_adh,XLs_bs3dss,XLs_dmtmm,XLs_psi_adh,XLs_psi_bs3dss,XLs_psi_dmtmm,CR_sum,EV_sum,GaussianEMRestraint_None,GaussianEMRestraint_None_CCC,GaussianEMRestraint_sigma_None,traj,rmf3_file,XLs_sum,half,cluster,frame_RMF3
135,9235,9235,6144,465.161750103304,2.37780166657282,335.23954052235297,29.526251684752,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.8315185853031859,28.7405044641573,108.91411052249,0.342734254313246,1,run_3,run_3//output//rmfs//7.rmf3,325.554763040081,A,2,h1_run_3_9235.rmf3
138,8720,8720,1333,465.18420490529996,3.64288586959045,335.566284071488,29.6645449569242,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,25.1802824385275,107.549996638376,0.347278099613081,1,run_31,run_31//output//rmfs//7.rmf3,327.284884064406,A,2,h1_run_31_8720.rmf3
143,8617,8617,5526,465.28212206155,2.3097857234853905,339.714686334688,29.7639676834373,-13.862943611198899,-13.862943611198899,-13.862943611198899,2.21559024500186,22.521337439138797,108.57314384879999,0.343746466472509,1,run_3,run_3//output//rmfs//7.rmf3,330.199608908014,A,2,h1_run_3_8617.rmf3
144,8546,8546,1191,465.296881762405,3.41943473958994,338.25433489487204,29.0894225986637,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,27.192848553034395,105.81814635376499,0.35336320074586497,1,run_31,run_31//output//rmfs//7.rmf3,329.174361399529,A,2,h1_run_31_8546.rmf3
148,9780,9780,1095,465.33860581992303,2.07628505331816,344.361830007872,28.8797702084275,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,19.755081708618103,107.97584920566999,0.34605918190949,1,run_37,run_37//output//rmfs//7.rmf3,333.729054436021,A,2,h1_run_37_9780.rmf3
149,8400,8400,5309,465.358874439785,2.28320262982208,345.088699161472,25.862137935019003,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.29022103271043603,25.7894281906858,107.18954496949101,0.348547074168974,1,run_3,run_3//output//rmfs//7.rmf3,331.64520889271597,A,2,h1_run_3_8400.rmf3
150,8547,8547,1192,465.39264436721396,3.41196922117269,339.5199459266,29.1878397944078,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,24.641975303920102,106.41420052557,0.35126577676765897,1,run_31,run_31//output//rmfs//7.rmf3,330.530924108584,A,2,h1_run_31_8547.rmf3
153,8280,8280,5189,465.510266889366,2.3656141036992904,345.92632979062006,27.962389150015696,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,22.5350284757309,106.063987044501,0.35252725840486204,1,run_3,run_3//output//rmfs//7.rmf3,334.66550221073896,A,2,h1_run_3_8280.rmf3
159,9856,9856,1767,465.608277328957,2.26823198391412,333.18205087861696,34.5450154361301,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,23.557869859896602,108.675563212122,0.343244315207223,1,run_40,run_40//output//rmfs//4.rmf3,328.406467465064,A,2,h1_run_40_9856.rmf3
160,8486,8486,1135,465.620418883164,3.44997995101699,337.484400389318,25.2968004884281,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.48186090659185,29.257201362480103,108.435879328045,0.34427406020941304,1,run_31,run_31//output//rmfs//7.rmf3,324.642349995167,A,2,h1_run_31_8486.rmf3
