,Unnamed: 0,MC_frame,rmf_frame_index,Total_Score,XLs_adh,XLs_bs3dss,XLs_dmtmm,XLs_psi_adh,XLs_psi_bs3dss,XLs_psi_dmtmm,CR_sum,EV_sum,GaussianEMRestraint_None,GaussianEMRestraint_None_CCC,GaussianEMRestraint_sigma_None,traj,rmf3_file,XLs_sum,half,cluster,frame_RMF3
157,8001,8001,5962,464.60791186548795,3.2425136350382595,340.263009631476,26.8424264452727,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,22.6467541052772,108.15990683243099,0.345242448085945,1,run_29,run_29//output//rmfs//2.rmf3,328.759118878191,B,2,h2_run_29_8001.rmf3
158,9652,9652,7613,464.618608962605,3.43152043160079,340.08611382065,28.446696241946697,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,25.728735385605397,107.055247235305,0.349253242598726,1,run_29,run_29//output//rmfs//2.rmf3,330.375499660601,B,2,h2_run_29_9652.rmf3
161,6742,6742,4715,464.637776042133,3.58917715916883,338.32643532778303,31.039224338108202,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,21.5670451489906,107.82055195604201,0.34655990896742306,1,run_29,run_29//output//rmfs//2.rmf3,331.366005991463,B,2,h2_run_29_6742.rmf3
167,9433,9433,7394,464.73095509812106,3.66187633308788,335.11104797394296,30.8444077537706,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.016496556553613,24.8804666120184,108.166650872817,0.34537562400930205,1,run_29,run_29//output//rmfs//2.rmf3,328.028501227205,B,2,h2_run_29_9433.rmf3
168,9265,9265,7226,464.73515334870905,2.95701477953856,344.67642820076105,26.4836654062744,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.224739723111212,22.332047078837103,106.54501727351101,0.35093337733498997,1,run_29,run_29//output//rmfs//2.rmf3,332.528277552977,B,2,h2_run_29_9265.rmf3
170,6904,6904,4877,464.747840710571,3.49219767673464,336.999190732206,28.5532841300553,-13.862943611198899,-13.862943611198899,-13.862943611198899,1.36718348640041,26.058220098757,108.035530259501,0.34586892656350204,1,run_29,run_29//output//rmfs//2.rmf3,327.455841705399,B,2,h2_run_29_6904.rmf3
175,6361,6361,4336,464.787496740274,3.41843953934341,343.462946314966,27.4451533545434,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,19.151719125927603,107.719119049491,0.3469894036750089,1,run_29,run_29//output//rmfs//2.rmf3,332.737708375256,B,2,h2_run_29_6361.rmf3
179,9749,9749,7710,464.840128253632,3.00890674248778,336.201147580949,27.7937050808339,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.043255378095405,25.498802650816003,107.985128526777,0.345994860260033,1,run_29,run_29//output//rmfs//2.rmf3,325.414928570674,B,2,h2_run_29_9749.rmf3
180,8613,8613,6574,464.841494817544,3.0117116346247204,339.533822286581,29.847679419056,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.001844136842561,21.0536035265477,107.755425411796,0.346807620536761,1,run_29,run_29//output//rmfs//2.rmf3,330.804382506665,B,2,h2_run_29_8613.rmf3
181,8660,8660,6621,464.88268436475306,3.0358127716397596,333.976654866967,27.688218494773803,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.029851988791072002,26.293297527940396,108.365600623905,0.344757215738569,1,run_29,run_29//output//rmfs//2.rmf3,323.111855299785,B,2,h2_run_29_8660.rmf3
183,9263,9263,7224,464.89832410959195,1.7255703722400502,344.238904344347,28.4584406005226,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,23.801067810791398,106.862315677371,0.349832156019373,1,run_29,run_29//output//rmfs//2.rmf3,332.834084483513,B,2,h2_run_29_9263.rmf3
192,6383,6383,4358,465.024449502835,3.29668100632498,336.988984348131,29.9928672928443,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.026706632151626,22.8424427678602,108.06022274966298,0.34577363489998303,1,run_29,run_29//output//rmfs//2.rmf3,328.689701813704,B,2,h2_run_29_6383.rmf3
195,6071,6071,4046,465.06929039894004,3.01201795654351,345.948230623837,26.959349120535197,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,22.0427667427925,106.635696380345,0.35057621754373697,1,run_29,run_29//output//rmfs//2.rmf3,334.33076686731897,B,2,h2_run_29_6071.rmf3
197,9325,9325,7286,465.148631003986,1.68023433041785,341.486822169544,32.251126199598495,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.049905312600475,18.9596681694112,107.633649712917,0.347108451472534,1,run_29,run_29//output//rmfs//2.rmf3,333.829351865964,B,2,h2_run_29_9325.rmf3
201,7825,7825,5786,465.18476882005797,3.79500866229824,332.188372149687,33.9893386218944,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,26.1964511533527,107.503073328734,0.347622570272237,1,run_29,run_29//output//rmfs//2.rmf3,328.383888600283,B,2,h2_run_29_7825.rmf3
202,9734,9734,7695,465.18953640998,3.18880487521196,337.081526982162,31.831576575869104,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.49167190396880106,26.2415530430025,107.518174229331,0.34761928045647494,1,run_29,run_29//output//rmfs//2.rmf3,330.513077599647,B,2,h2_run_29_9734.rmf3
207,6367,6367,4342,465.266555850509,3.50754837718844,341.331356470964,29.4166734623557,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,19.0597792966103,108.165861055696,0.345457060359641,1,run_29,run_29//output//rmfs//2.rmf3,332.666747476912,B,2,h2_run_29_6367.rmf3
211,6812,6812,4785,465.28487008992005,3.6517902166569103,333.55000753551496,35.1265645022125,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,24.1383909685466,108.395408795701,0.34454390925274603,1,run_29,run_29//output//rmfs//2.rmf3,330.739531420788,B,2,h2_run_29_6812.rmf3
215,6763,6763,4736,465.35887967417,3.28058344252131,337.038868132687,29.498732449029898,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,21.3187107905648,108.81728912232401,0.34314308351892403,1,run_29,run_29//output//rmfs//2.rmf3,328.22935319064203,B,2,h2_run_29_6763.rmf3
217,8268,8268,6229,465.377617270754,3.3527146738854103,336.25536540192,29.7562276058493,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,26.5983953836271,107.389239675891,0.347987505106502,1,run_29,run_29//output//rmfs//2.rmf3,327.775476848058,B,2,h2_run_29_8268.rmf3
218,6827,6827,4800,465.393857316139,3.2060195797979905,334.052537878676,30.7018326639661,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,27.810617649419697,108.560387561956,0.34393642152295595,1,run_29,run_29//output//rmfs//2.rmf3,326.371559288843,B,2,h2_run_29_6827.rmf3
219,8801,8801,6762,465.419065107518,3.3684242902960895,342.462112009093,29.281759523582,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.171705624460388,23.210576131069697,105.90262094675501,0.353303713190877,1,run_29,run_29//output//rmfs//2.rmf3,333.523464989375,B,2,h2_run_29_8801.rmf3
220,9751,9751,7712,465.430871931003,3.08400575034912,335.378664373446,27.704296224184,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,25.2961833624311,108.30291227754499,0.34492316940416606,1,run_29,run_29//output//rmfs//2.rmf3,324.578135514383,B,2,h2_run_29_9751.rmf3
222,6819,6819,4792,465.472615274044,3.2051500186863704,331.45259625912604,33.2751365456735,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,30.3265133147853,107.33709312756099,0.348180120122013,1,run_29,run_29//output//rmfs//2.rmf3,326.344051989889,B,2,h2_run_29_6819.rmf3
223,6856,6856,4829,465.47799160866305,3.5877194195652904,333.565230143147,31.6811607409312,-13.862943611198899,-13.862943611198899,-13.862943611198899,1.7429738050933201,26.5552826033258,107.04093356775999,0.34927805887092,1,run_29,run_29//output//rmfs//2.rmf3,327.245279470046,B,2,h2_run_29_6856.rmf3
228,6938,6938,4911,465.507682324021,3.8529937349543797,336.471742043942,31.1028260383243,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.084501627013992,26.8040064255019,106.121617710604,0.35254478093778996,1,run_29,run_29//output//rmfs//2.rmf3,329.838730983624,B,2,h2_run_29_6938.rmf3
233,9532,9532,7493,465.62562759247396,3.7202034315684904,334.467915943398,35.5777839152151,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,20.532092432461898,107.858646008835,0.34646500954937504,1,run_29,run_29//output//rmfs//2.rmf3,332.177072456585,B,2,h2_run_29_9532.rmf3
235,9670,9670,7631,465.64150952530406,3.0004432387656497,337.967600096289,27.3280064750167,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,27.487391188908,107.42368933739,0.347982647371069,1,run_29,run_29//output//rmfs//2.rmf3,326.707218976474,B,2,h2_run_29_9670.rmf3
236,8105,8105,6066,465.655821427295,3.5643098774262403,341.15731223873297,29.8000787548318,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,21.745494755400895,106.473489032187,0.351107732444975,1,run_29,run_29//output//rmfs//2.rmf3,332.93287003739397,B,2,h2_run_29_8105.rmf3
